Train_No,Route_Number,Start_Station,End_Station,Total_Distance,Number_of_Stops,Total_Duration_Minutes
97606,1,CLA,CSMT,15,10,30.0
97607,1,CSMT,CLA,15,10,28.0
97608,1,CLA,CSMT,15,10,30.0
97609,1,CSMT,CLA,15,10,30.0
97610,1,CLA,CSMT,15,10,30.0
97611,1,CSMT,CLA,15,10,28.0
97612,1,CLA,CSMT,15,10,31.0
97613,1,CSMT,CLA,15,10,28.0
97614,1,CLA,CSMT,15,10,31.0
97615,1,CSMT,CLA,15,10,31.0
97616,1,CLA,CSMT,15,10,30.0
97617,1,CSMT,CLA,15,10,29.0
97618,1,CLA,CSMT,15,10,30.0
97619,1,CSMT,CLA,15,10,30.0
97620,1,CLA,CSMT,15,10,30.0
97621,1,CSMT,CLA,15,10,28.0
97622,1,CLA,CSMT,15,10,30.0
97623,1,CSMT,CLA,15,10,28.0
97624,1,CLA,CSMT,15,10,29.0
97625,1,CSMT,CLA,15,10,28.0
97626,1,CLA,CSMT,15,10,30.0
97627,1,CSMT,CLA,15,10,28.0
97628,1,CLA,CSMT,15,10,30.0
97629,1,CSMT,CLA,15,10,28.0
97630,1,CLA,CSMT,15,10,30.0
97631,1,CSMT,CLA,15,10,28.0
97632,1,CLA,CSMT,15,10,30.0
97633,1,CSMT,CLA,15,10,29.0
97634,1,CLA,CSMT,15,10,31.0
97635,1,CSMT,CLA,15,10,28.0
97636,1,CLA,CSMT,15,10,30.0
97637,1,CSMT,CLA,15,10,29.0
97638,1,CLA,CSMT,15,10,30.0
97639,1,CSMT,CLA,15,10,28.0
97640,1,CLA,CSMT,15,10,31.0
97641,1,CSMT,CLA,15,10,28.0
97642,1,CLA,CSMT,15,10,31.0
97643,1,CSMT,CLA,15,10,28.0
97644,1,CLA,CSMT,15,10,30.0
97645,1,CSMT,CLA,15,10,29.0
97646,1,CLA,CSMT,15,10,30.0
97647,1,CSMT,CLA,15,10,29.0
97648,1,CLA,CSMT,15,10,30.0
97649,1,CSMT,CLA,15,10,29.0
97651,1,CSMT,CLA,15,10,29.0
97653,1,CSMT,CLA,15,10,29.0
97655,1,CSMT,CLA,15,10,29.0
98000,1,PNVL,CSMT,49,2,77.0
98001,1,CSMT,PNVL,49,2,77.0
98002,1,PNVL,CSMT,49,2,77.0
98003,1,CSMT,PNVL,49,2,77.0
98004,1,PNVL,CSMT,49,2,77.0
98005,1,CSMT,PNVL,49,2,77.0
98006,1,PNVL,CSMT,49,2,77.0
98007,1,CSMT,PNVL,49,2,77.0
98008,1,PNVL,CSMT,49,2,77.0
98009,1,CSMT,PNVL,49,2,77.0
98010,1,PNVL,CSMT,49,2,77.0
98011,1,CSMT,PNVL,49,2,77.0
98012,1,PNVL,CSMT,49,2,77.0
98013,1,VSH,PNVL,20,2,31.0
98014,1,PNVL,CSMT,49,2,77.0
98015,1,CSMT,PNVL,49,2,77.0
98016,1,PNVL,CSMT,49,2,78.0
98017,1,CSMT,PNVL,49,2,77.0
98018,1,PNVL,VDLR,39,2,60.0
98019,1,CSMT,PNVL,49,2,77.0
98020,1,PNVL,CSMT,49,2,78.0
98021,1,VSH,PNVL,20,2,30.0
98022,1,PNVL,CSMT,49,2,78.0
98023,1,CSMT,PNVL,49,2,77.0
98024,1,PNVL,CSMT,49,2,77.0
98025,1,CSMT,PNVL,49,2,77.0
98026,1,PNVL,VDLR,39,2,59.0
